"","X","Acronym","DATA_SOURC","Gear_Type","year","month","date","Species","Presence","Depth","Rugosity","lat","long","st","SS","bs","bt","sh","unique","m_unique","p_a"
"47",1033276,"OD_2012_293979","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,1,"1/26/2012 0:00","d862",1,-209,0.0093632,39.88,-71.74,8.859435955,33.28626472,34.9918547,11.88010419,-0.125138788,41043,"01_41043",1
"48",1033271,"OD_2004_100535","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2004,2,"2/23/2004 0:00","d862",1,-131,0.218194,38.92,-72.91,9.19721048,34.14758394,34.96590203,7.27159874,-0.166247326,38701,"02_38701",1
"49",1033278,"OD_2014_252527","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,2,"2/23/2014 0:00","d862",1,-263,0.0013662,40.01,-70.79,7.737474079,33.72797542,35.11164211,7.301059217,-0.183603829,41249,"02_41249",1
"50",1033267,"WH__200604_1720_1_22","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2006,3,"3/10/2006 0:00","d862",1,-199,0.0062665,37.705317,-74.20175,9.102679621,34.14458525,35.00819093,6.746571772,-0.18205842,35580,"03_35580",1
"51",1033268,"WH__200902_1680_3_30","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2009,3,"3/6/2009 0:00","d862",1,-241,0.0067751,36.73027,-74.65905,10.88884025,34.49819646,34.75193648,4.855041692,-0.180346568,33247,"03_33247",1
"52",1033269,"WH__201001_1720_1_97","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2010,3,"3/10/2010 0:00","d862",1,-294,0.232254,37.856218,-74.035712,9.552274246,34.30365845,34.65303639,4.656974559,-0.196519594,35971,"03_35971",1
"53",1033272,"OD_2008_73605","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2008,4,"4/18/2008 0:00","d862",1,-365,0.1611,39.96,-70.19,8.759157463,34.17253165,35.02836958,7.008039815,-0.21710371,41257,"04_41257",1
"54",1033273,"OD_2010_150472","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,4,"4/13/2010 0:00","d862",1,-303,0.0680697,37.87,-74.07,10.29582445,34.11343683,34.77139119,5.069033218,-0.201508393,35970,"04_35970",1
"55",1033274,"OD_2010_161754","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,4,"4/22/2010 0:00","d862",1,-230,0.0032131,40.01,-70.69,8.503097127,34.1833592,35.13416794,8.475622831,-0.230443245,41250,"04_41250",1
"56",1033275,"OD_2011_161835","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,4,"4/14/2011 0:00","d862",1,-217,0.204019,38.91,-72.9,9.478267299,34.00442941,34.73431637,4.906354043,-0.202461279,38507,"04_38507",1
"57",1033279,"OD_2014_293107","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,8,"8/20/2014 0:00","d862",1,-305,0.0158095,38.38,-73.46,24.67174449,33.5116005,34.66217861,4.486121853,-0.066868321,37336,"08_37336",1
"58",1033266,"WH__200306_1080_1_1","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2003,9,"9/7/2003 0:00","d862",1,-370,0.0001765,39.973333,-70.927167,22.0600741,34.1957772,35.22268989,7.253099782,-0.08410309,41247,"09_41247",1
"59",1033270,"WH__201004_1680_2_16","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2010,9,"9/11/2010 0:00","d862",1,-223,0.0295469,36.818658,-74.654423,23.5938164,34.4059692,34.79241929,5.266982107,-0.042423181,33441,"09_33441",1
"60",1033280,"OD_2014_298772","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,11,"11/29/2014 0:00","d862",1,-207,0.0346993,40.06,-70.49,13.53342152,33.90004773,35.50354649,12.47063209,-0.117434242,41447,"11_41447",1
"61",1033277,"OD_2012_337148","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,12,"12/14/2012 0:00","d862",1,-251,0.0048582,40.01,-71.22,11.88783562,33.94281083,35.23171407,7.357543402,-0.130443528,41244,"12_41244",1
"16",1036600,"OD_2007_53549","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2007,1,"1/14/2007 0:00","d743",1,-45,0.0428841,35.62,-75.02,13.38999217,34.63703402,34.16935029,13.75806057,-0.124917868,30526,"01_30526",0
"17",1036603,"OD_2011_100314","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,1,"1/16/2011 0:00","d743",1,-143,0.358707,38.14,-73.8,11.56786618,34.71200655,34.83453097,5.26067273,-0.152412398,36750,"01_36750",0
"18",1036610,"OD_2013_111217","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,1,"1/25/2013 0:00","d743",1,-155,0.209367,39.44,-72.31,10.28397893,34.04411252,35.28610911,9.638458849,-0.138024083,39872,"01_39872",0
"19",1036606,"OD_2012_238188","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,2,"2/1/2012 0:00","d743",1,-300,0.0409244,38.39,-73.47,10.21022588,34.49510901,34.63451251,4.511259577,-0.182086477,37336,"02_37336",0
"20",1036612,"OD_2013_178586","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,2,"2/19/2013 0:00","d743",1,-126,0.0064058,40.13,-70.16,6.592201143,32.91216366,33.48570562,9.528878862,-0.145070226,41645,"02_41645",0
"21",1036608,"OD_2013_96068","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,3,"3/11/2013 0:00","d743",1,-129,0.228642,38.15,-73.77,9.076045655,34.20872753,34.77817443,5.203312472,-0.19215344,36750,"03_36750",0
"22",1036609,"OD_2013_96260","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,3,"3/14/2013 0:00","d743",1,-147,0.013292,38.26,-73.66,8.973299266,34.18454689,35.07925615,7.673341424,-0.191404158,36945,"03_36945",0
"23",1036611,"OD_2013_176397","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,3,"3/15/2013 0:00","d743",1,-251,0.047323,38.08,-73.85,9.123149282,34.21116332,34.82618828,5.415958393,-0.192687779,36555,"03_36555",0
"24",1036613,"OD_2014_212892","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,3,"3/21/2014 0:00","d743",1,-144,0.0076556,38.03,-73.91,9.146975311,34.2036157,34.96611313,6.158694957,-0.1905276,36360,"03_36360",0
"25",1036605,"OD_2011_218866","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,7,"7/7/2011 0:00","d743",1,-25,0.538731,40.34,-73.69,21.44695546,31.0529614,31.97356039,14.06768212,-0.070642841,41989,"07_41989",0
"26",1036593,"WH__200407_3250_2_57","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2004,9,"9/15/2004 0:00","d743",1,-12,0.180544,38.830073,-74.891798,22.12443366,30.47632928,30.91778724,20.33564889,0.118061117,38288,"09_38288",0
"27",1036594,"WH__201004_3050_3_148","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2010,9,"9/29/2010 0:00","d743",1,-26,0.0345404,40.930003,-72.016128,20.27495132,31.26860653,31.72659532,18.17691477,0.027231793,43562,"09_43562",0
"28",1036604,"OD_2011_152139","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,9,"9/27/2011 0:00","d743",1,-88,0.205284,38.98,-72.95,22.27841378,33.85084001,34.33875141,12.95595519,-0.054384842,38700,"09_38700",0
"29",1036595,"OD_2004_144748","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2004,10,"10/7/2004 0:00","d743",1,-85,0.007693,36.46,-74.8,20.12926706,34.25064875,35.47578268,12.69686897,-0.035366269,32663,"10_32663",0
"30",1036596,"OD_2004_236969","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2004,10,"10/30/2004 0:00","d743",1,-99,0.0087627,36.4,-74.8,20.30156777,34.38249016,35.52685139,11.89394741,-0.035895291,32469,"10_32469",0
"31",1036601,"OD_2010_197598","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,10,"10/19/2010 0:00","d743",1,-50,0.0638425,35.66,-74.98,21.74394582,34.36676196,34.21517581,17.43898849,-0.020740567,30721,"10_30721",0
"32",1036614,"OD_2014_222530","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,10,"10/19/2014 0:00","d743",1,-78,0.169454,38.6,-73.43,18.73057483,33.95975535,33.75472184,13.61529028,-0.056509846,37918,"10_37918",0
"33",1036599,"OD_2005_225204","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2005,11,"11/28/2005 0:00","d743",1,-147,0.0413822,39.98,-69.55,13.37645572,33.79473611,35.37749291,11.85799296,-0.121226529,41265,"11_41265",0
"34",1036602,"OD_2011_89994","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,11,"11/28/2011 0:00","d743",1,-109,0.24726,39.53,-72.46,13.554895,33.93606299,35.25323951,12.86650447,-0.107277527,40064,"11_40064",0
"35",1036597,"OD_2005_73512","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2004,12,"12/29/2004 0:00","d743",1,-126,0.0868964,38.79,-73.07,12.97228451,34.58997198,35.30766745,9.371335092,-0.131561257,38311,"12_38311",0
"36",1036598,"OD_2005_54855","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2005,12,"12/11/2005 0:00","d743",1,-142,0.0479861,39.39,-72.37,12.44194231,34.36987511,35.3378184,12.6960992,-0.129685843,39677,"12_39677",0
"37",1036607,"OD_2012_293531","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,12,"12/1/2012 0:00","d743",1,-262,0.289972,39.5,-72.38,11.82482029,34.04023343,35.42540654,11.11612071,-0.124971777,40065,"12_40065",0
"38",1036634,"OD_2005_111996","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2005,1,"1/11/2005 0:00","b6",1,-67,0.0051416,42.75,-70.63,4.999461458,31.93433363,32.20398134,4.709972651,-0.081772835,47847,"01_47847",0
"39",1036642,"OD_2011_30258","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,1,"1/30/2011 0:00","b6",1,-220,0.0419875,42.21,-69.5,6.162150225,32.23616549,33.33153849,6.223571347,-0.096593358,46697,"01_46697",0
"40",1036636,"OD_2008_8610","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2008,2,"2/8/2008 0:00","b6",1,-109,0.69511,42.55,-70.43,4.342505717,32.06146461,32.33665513,4.269306411,-0.103115334,47462,"02_47462",0
"41",1036639,"OD_2009_199365","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2009,2,"2/7/2009 0:00","b6",1,-121,0.129287,38.86,-72.95,9.291811751,34.17497623,34.95901807,8.424057469,-0.166548067,38506,"02_38506",0
"42",1036644,"OD_2012_81608","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,2,"2/11/2012 0:00","b6",1,-140,0.0704415,38.78,-73.07,9.502305727,34.23331336,35.19287196,9.283808298,-0.16793582,38311,"02_38311",0
"43",1036645,"OD_2012_81809","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,2,"2/16/2012 0:00","b6",1,-142,0.0089909,38.28,-73.65,9.50352016,34.24817085,34.42090708,11.23370481,-0.1651794,37139,"02_37139",0
"44",1036646,"OD_2012_271939","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,2,"2/10/2012 0:00","b6",1,-97,0.0381571,39.79,-72.14,7.321185275,33.19237374,33.59304909,10.55741629,-0.142598564,40650,"02_40650",0
"45",1036643,"OD_2011_158592","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,3,"3/5/2011 0:00","b6",1,-161,0.299414,39.54,-72.33,7.33679051,33.51556554,35.12603808,8.816750933,-0.165755044,40066,"03_40066",0
"46",1036649,"OD_2014_199152","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,4,"4/27/2014 0:00","b6",1,-158,0.0382011,39.83,-71.88,7.446782023,33.60004846,34.88041393,8.890819954,-0.211804052,40848,"04_40848",0
"471",1036647,"OD_2012_304966","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,8,"8/21/2012 0:00","b6",1,-28,0.0668828,40.75,-72.59,21.99064617,31.33543672,32.01713667,15.60162984,-0.012212876,42973,"08_42973",0
"481",1036648,"OD_2013_182404","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,9,"9/7/2013 0:00","b6",1,-91,0.740344,42.91,-70.5,16.60070971,31.25956373,32.53222532,5.461154903,-0.026741313,48237,"09_48237",0
"491",1036635,"OD_2007_224860","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2007,11,"11/28/2007 0:00","b6",1,-138,0.59775,42.87,-70.38,9.10816821,31.72076942,32.56912518,6.769847552,-0.05918586,48238,"11_48238",0
"501",1036637,"OD_2008_268461","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2008,12,"12/16/2008 0:00","b6",1,-131,0.0728334,41.52,-68.66,7.848951354,32.0279398,32.67000379,7.086487302,-0.046743406,44962,"12_44962",0
"511",1036638,"OD_2008_274453","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2008,12,"12/5/2008 0:00","b6",1,-81,0.100923,42.62,-70.39,7.146885394,31.8485251,32.23782253,6.933845365,-0.061237597,47656,"12_47656",0
"521",1036640,"OD_2009_213695","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2009,12,"12/7/2009 0:00","b6",1,-219,0.68559,42.8,-69.9,7.284851203,32.0295524,33.25729511,6.090512624,-0.07640569,48050,"12_48050",0
"531",1036641,"OD_2009_220308","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2009,12,"12/7/2009 0:00","b6",1,-193,0.0176932,39.53,-72.16,12.32573396,34.33544813,35.13293614,6.43021994,-0.132320193,40068,"12_40068",0
"541",1036657,"OD_2014_220150","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,3,"3/12/2014 0:00","e402",1,-69,0.629028,39.08,-73.12,6.850541642,33.021387,33.15230652,7.460245511,-0.142460903,38892,"03_38892",0
"551",1036651,"WH__201202_1270_1_340","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2012,4,"4/25/2012 0:00","e402",1,-144,0.58474,42.34191,-70.016097,5.502890953,31.93342503,32.94157244,5.26837258,-0.111889038,46885,"04_46885",0
"561",1036652,"WH__201202_1351_3_390","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2012,5,"5/1/2012 0:00","e402",1,-95,0.491248,44.136598,-66.7283,6.228014095,31.1322246,32.93485342,5.71365966,-0.069475738,51388,"05_51388",0
"571",1036655,"OD_2013_95005","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,6,"6/12/2013 0:00","e402",1,-10,0.342002,41.58,-70.17,16.54068179,31.05227538,31.36141652,14.98882201,-0.070471498,45137,"06_45137",0
"581",1036658,"OD_2014_239699","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,6,"6/1/2014 0:00","e402",1,-14,0.257806,41.49,-70.28,16.48607142,31.03863946,31.34563734,14.9728301,-0.072816915,44941,"06_44941",0
"591",1036659,"OD_2014_268390","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,7,"7/8/2014 0:00","e402",1,-13,0.20917,41.34,-70.12,20.2461348,31.20404797,31.507232,18.40725788,-0.084668112,44555,"07_44555",0
"601",1036656,"OD_2013_189415","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,8,"8/26/2013 0:00","e402",1,-21,0.0142139,40.82,-72.45,21.97669022,31.26724872,31.71659604,19.04740751,-0.017736373,43168,"08_43168",0
"611",1036650,"WH__201105_3440_2_40","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2011,9,"9/14/2011 0:00","e402",1,-24,0.449301,35.686793,-75.30203,24.80509913,33.59064988,33.26120497,23.01573759,0.022746721,30717,"09_30717",0
"62",1026050,"OD_2009_52702","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2009,1,"1/21/2009 0:00","m1068",1,-180,0.0784593,41.72,-69.32,6.242766534,32.18967276,32.93337715,5.90568712,-0.073091798,45342,"01_45342",0
"63",1026043,"OD_2003_69083","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2003,2,"2/20/2003 0:00","m1068",1,-227,0.14902,42.26,-69.83,5.187095575,32.21570027,33.24477169,6.174320434,-0.109485159,46693,"02_46693",0
"64",1026048,"OD_2008_65348","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2008,3,"3/2/2008 0:00","m1068",1,-175,0.109748,41.63,-69.2,4.96821959,32.25326658,32.8039617,5.146932591,-0.092395555,45149,"03_45149",0
"65",1026052,"OD_2009_193221","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2009,3,"3/14/2009 0:00","m1068",1,-142,0.0429105,41.57,-68.72,5.12123015,32.34247078,32.75877386,5.125975503,-0.101017883,45155,"03_45155",0
"66",1026056,"OD_2011_200669","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,3,"3/29/2011 0:00","m1068",1,-198,0.181895,42.39,-69.89,4.684989518,32.20906043,32.96520323,5.524450281,-0.106030524,47080,"03_47080",0
"67",1026045,"OD_2006_90227","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2006,4,"4/22/2006 0:00","m1068",1,-203,0.36017,41.99,-69.18,5.750993794,32.0967642,32.91909404,5.452378693,-0.110033976,46119,"04_46119",0
"68",1026044,"OD_2005_114639","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2005,5,"5/29/2005 0:00","m1068",1,-47,0.208889,40.95,-68.35,7.943869113,32.00689519,32.3297398,5.477680379,-0.105990247,43608,"05_43608",0
"69",1026061,"OD_2013_78849","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,5,"5/28/2013 0:00","m1068",1,-22,0.657061,41.17,-70.17,10.11032053,31.45966683,31.83528441,10.08657593,-0.068601511,44167,"05_44167",0
"70",1026046,"OD_2007_146068","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2007,6,"6/9/2007 0:00","m1068",1,-239,0.0126433,42.9,-69.82,12.89053379,31.41150852,33.21575159,5.939093842,-0.089362255,48245,"06_48245",0
"71",1026051,"OD_2009_151827","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2009,6,"6/29/2009 0:00","m1068",1,-30,0.0500782,41.24,-70.42,15.03657503,31.18936131,31.62759153,13.73093691,-0.067054573,44358,"06_44358",0
"72",1026059,"OD_2012_275455","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,6,"6/2/2012 0:00","m1068",1,-24,0.298756,41.18,-70.22,13.86765389,31.27028505,31.77137393,12.63008069,-0.059601407,44166,"06_44166",0
"73",1026060,"OD_2012_278828","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,6,"6/5/2012 0:00","m1068",1,-22,0.0336191,41.24,-70.28,14.48249688,31.23048478,31.62781115,13.69516577,-0.064531505,44359,"06_44359",0
"74",1026053,"OD_2009_219244","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2009,7,"7/8/2009 0:00","m1068",1,-24,0.0279042,41.25,-70.38,19.44432412,31.21700326,31.66761338,15.44449013,-0.082067168,44358,"07_44358",0
"75",1026054,"OD_2009_219277","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2009,7,"7/9/2009 0:00","m1068",1,-20,0.07127,41.21,-70.24,18.70904158,31.25930901,31.81613681,14.0716734,-0.073985012,44166,"07_44166",0
"76",1026057,"OD_2011_219384","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,7,"7/20/2011 0:00","m1068",1,-23,0.0263051,41.22,-70.28,18.81163519,31.23890074,31.87973845,13.56209694,-0.072424723,44165,"07_44165",0
"77",1026062,"OD_2013_184104","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,7,"7/7/2013 0:00","m1068",1,-33,0.0446588,41.22,-70.49,19.30275115,31.17961786,32.07232156,11.80303043,-0.067751757,44163,"07_44163",0
"78",1026049,"OD_2008_265185","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2008,8,"8/1/2008 0:00","m1068",1,-82,0.0393882,41.42,-69.32,19.17874405,31.34212614,32.78378221,5.192502896,-0.033610907,44760,"08_44760",0
"79",1026047,"OD_2007_215022","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2007,9,"9/7/2007 0:00","m1068",1,-153,0.0264219,41.58,-69.25,17.93681849,31.51589617,33.03431045,5.42797841,0.01162574,45148,"09_45148",0
"80",1026058,"OD_2011_262328","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,11,"11/21/2011 0:00","m1068",1,-58,0.0051155,41.61,-69.64,9.802200896,31.72461845,32.04032583,10.77720595,-0.039095665,45143,"11_45143",0
"81",1026063,"OD_2014_148964","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,12,"12/18/2014 0:00","m1068",1,-20,0.173209,41.36,-71.46,8.127093893,31.53036856,31.85646169,9.040961928,-0.063445859,44539,"12_44539",0
"82",1036615,"OD_2008_182102","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2008,2,"2/6/2008 0:00","m1067",1,-235,0.0616772,38.12,-73.78,10.48777457,34.72119593,34.55273316,4.15644322,-0.19806479,36556,"02_36556",0
"83",1036633,"OD_2014_252545","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,2,"2/23/2014 0:00","m1067",1,-264,0.0350025,40.01,-70.55,7.74471021,33.76108077,35.10801099,7.181254418,-0.186778749,41252,"02_41252",0
"84",1036617,"OD_2010_160434","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,4,"4/1/2010 0:00","m1067",1,-115,0.0916183,38.71,-73.19,8.31187003,33.55460788,33.96500222,9.681620859,-0.185319345,38115,"04_38115",0
"85",1036618,"OD_2010_161787","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,4,"4/23/2010 0:00","m1067",1,-260,0.0070441,40.02,-70.96,8.535537637,34.15402965,35.0789107,7.153954638,-0.229396022,41247,"04_41247",0
"86",1036628,"OD_2012_222858","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,4,"4/5/2012 0:00","m1067",1,-206,0.0334454,37.88,-74.09,9.82226093,33.91317654,34.74211674,10.53154446,-0.189872234,36164,"04_36164",0
"87",1036631,"OD_2013_184990","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,4,"4/15/2013 0:00","m1067",1,-147,0.109883,39.41,-72.32,8.004726652,33.6616668,35.06664744,8.514383268,-0.199626896,39872,"04_39872",0
"88",1036632,"OD_2014_139168","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,4,"4/24/2014 0:00","m1067",1,-180,0.140986,37.07,-74.58,10.95216377,34.24322439,34.5205144,4.353272251,-0.196858679,34024,"04_34024",0
"89",1036630,"OD_2013_180317","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,5,"5/30/2013 0:00","m1067",1,-144,0.275135,39.23,-72.52,12.40827445,33.92073583,34.85305479,5.534594105,-0.157349797,39288,"05_39288",0
"90",1036616,"OD_2010_50803","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,6,"6/6/2010 0:00","m1067",1,-215,0.096138,38.13,-73.8,19.07372648,33.2243874,34.70048841,4.923666075,-0.124191786,36750,"06_36750",0
"91",1036619,"OD_2010_164384","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,6,"6/7/2010 0:00","m1067",1,-324,0.0240669,38.38,-73.48,18.69910975,33.09676084,34.69443026,4.895940602,-0.124443489,37335,"06_37335",0
"92",1036620,"OD_2010_164395","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,6,"6/8/2010 0:00","m1067",1,-215,0.0591372,38.39,-73.44,18.83490125,33.27306435,34.57245424,4.36382852,-0.127473084,37336,"06_37336",0
"93",1036629,"OD_2013_134093","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,8,"8/25/2013 0:00","m1067",1,-353,0.0293509,38.42,-73.39,24.71549777,33.62194805,34.51541191,3.670138401,-0.074398058,37337,"08_37337",0
"94",1036622,"OD_2010_165231","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,9,"9/20/2010 0:00","m1067",1,-206,0.0640928,39.53,-72.31,21.95626355,33.93670915,35.36198562,9.671228971,-0.065768935,40066,"09_40066",0
"95",1036623,"OD_2010_165310","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,9,"9/25/2010 0:00","m1067",1,-171,0.119367,38.13,-73.79,23.08934974,34.455694,34.87230906,5.280540816,-0.070408304,36750,"09_36750",0
"96",1036624,"OD_2010_170626","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,9,"9/24/2010 0:00","m1067",1,-195,0.0122143,37.93,-73.99,23.03591906,34.31068743,34.77308917,4.863656976,-0.061329721,36165,"09_36165",0
"97",1036626,"OD_2011_100216","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,12,"12/14/2011 0:00","m1067",1,-158,0.18193,39.47,-72.35,12.35564946,34.33992519,35.3565107,9.301888111,-0.129971877,39872,"12_39872",0
